"size id","size description"
1,"#0 Bright"
2,"#1 Bright"
3,"#10 Bright"
4,"#12 Bright"
5,"#14 Bright"
6,"#16 Bright"
7,"#18 Bright"
8,"#2 Bright"
9,"#20 Bright"
10,"#22 Bright"
11,"#24 Bright"
12,"#4 Bright"
13,"#6 Bright"
14,"#8 Bright"
15,"1"""
16,"10"" x 10"" (pack of 10)"
17,"11"" x 14"""
18,"11"" x 14"" (pack of 10)"
19,"12"" x 12"" (pack of 10)"
20,"12"" x 16"""
21,"12"" x 16"" (pack of 10)"
22,"12"" x 36"" (pack of 10)"
23,"14"" x 18"""
24,"14"" x 18"" (pack of 10)"
25,"150 ml"
26,"16 oz"
27,"16"" x 20"""
28,"16"" x 20"" (pack of 10)"
29,"18"" x 18"" (pack of 10)"
30,"18"" x 24"""
31,"18"" x 24"" (pack of 10)"
32,"2"""
33,"20"" x 24"" (pack of 10)"
34,"20"" x 30"" (pack of 10)"
35,"22"" x 28"" (pack of 10)"
36,"24"" x  30"""
37,"24"" x 24"" (pack of 10)"
38,"24"" x 30"" (pack of 10)"
39,"24"" x 36"""
40,"24"" x 36"" (pack of 10)"
41,"3"""
42,"37 ml / 1.25 oz"
43,"4"""
44,"4"" x 4"" (pack of 10)"
45,"4"" x 6"" (pack of 10)"
46,"59 ml / 2 fl oz"
47,"5"" x 5"" (pack of 10)"
48,"5"" x 7"" (pack of 10)"
49,"54"" x 3 yds"
50,"57"" x 3 yds"
51,"57"" x 6 yds"
52,"58"" x 3 yds"
53,"6"" x 12"" (pack of 10)"
54,"61"" x 3 yds"
55,"62"" x 3 yds"
56,"62"" x 6 yds"
57,"72"" x 3 yds"
58,"72"" x 6 yds"
59,"8 oz"
60,"8"" x 10"""
61,"8"" x 10"" (pack of 10)"
62,"8"" x 16"" (pack of 10)"
63,"8"" x 24"" (pack of 10)"
64,"9"" x 12"""
65,"9"" x 12"" (pack of 10)"
66,"5 ml / .17 oz"
67,"12 Pieces"
68,"18 Pieces"
69,"24 Pieces"
70,"24 Pan"
71,"36 Pan"
72,"15 ml"
73,"40 ml"
74,"1 pc - Calligraphy Cap"
75,"1 pc - Fat Cap Pink"
76,"1 pc - Fat Cap"
77,"1 pc - Level 1 Ultra Skinny"
78,"1 pc - Level 2 Fine Skinny"
79,"1 pc - Level 3 Skinny"
80,"1 pc - Level 4 Soft Fat"
81,"1 pc - Level 5 Fat"
82,"1 pc - Level 6 Ultra Fat"
83,"1 pc - Maclaim"
84,"1 pc - Skinny Beige"
85,"1 pc - Skinny Black"
86,"6"" x 6"" (pack of 10)"
87,"6"" x 12"" (pack of 6)"
88,"8"" x 8"" (pack of 6)"
89,"8"" x 10"" (pack of 6)"
90,"9"" x 12"" (pack of 6)"
91,"10"" x 10"" (pack of 6)"
92,"11"" x 14"" (pack of 6)"
93,"12"" x 12"" (pack of 6)"
94,"12"" x 16"" (pack of 6)"
95,"12"" x 24"" (pack of 6)"
96,"12"" x 36"" (pack of 6)"
97,"14"" x 14"" (pack of 6)"
98,"16"" x 16"" (pack of 6)"
99,"16"" x 20"" (pack of 6)"
100,"18"" x 18"" (pack of 6)"
101,"18"" x 24"" (pack of 6)"
102,"20"" x 30"" (pack of 6)"
103,"24"" x 24"" (pack of 6)"
104,"24"" x 30"" (pack of 6)"
105,"24"" x 36"" (pack of 6)"
106,"36"" x 36"" (pack of 4)"
107,"12"" x 12"""
108,"5"" x 7"" (Pack of 3)"
109,"11"" x 15"""
110,"13"" x 17"""
111,"15"" x 20"""
112,"6"" x 8"""
113,"14"" x 17"""
114,"8"" x 12"""
115,"20 ml"
116,"#0 Filbert"
117,"#1 Filbert"
118,"#2 Filbert"
119,"#4 Filbert"
120,"#6 Filbert"
121,"#8 Filbert"
122,"#10 Filbert"
123,"#12 Filbert"
124,"#14 Filbert"
125,"#16 Filbert"
126,"#18 Filbert"
127,"#20 Filbert"
128,"#22 Filbert"
129,"#24 Filbert"
130,"#0 Round"
131,"#1 Round"
132,"#2 Round"
133,"#4 Round"
134,"#6 Round"
135,"#8 Round"
136,"#10 Round"
137,"#12 Round"
138,"#14 Round"
139,"#16 Round"
140,"#18 Round"
141,"#20 Round"
142,"#22 Round"
143,"#24 Round"
144,"14 ml / .47 oz"
145,"9 mm"
146,"12 mm"
147,"15 mm"
148,"1/4"""
149,"1/2"""
150,"3/4"""
151,"Angle Shader #12/0"
152,"Angle Shader #0"
153,"Angle Shader #4"
154,"Dagger Striper 1/8"""
155,"Dagger Striper 1/4"""
156,"Deer Foot 1/4"""
157,"Extra Long Liner #30/0"
158,"Extra Long Liner #20/0"
159,"Fan #20/0"
160,"Fan #12/0"
161,"Filbert #10/0"
162,"Filbert #2"
163,"Flat Shader #10/0"
164,"Flat Shader #2/0"
165,"Flat Shader #2"
166,"Grainer 3/8"""
167,"Liner #20/0"
168,"Liner #1"
169,"Monogram #20/0"
170,"Round #20/0"
171,"Round #12/0"
172,"Round #3/0"
173,"Round #2/0"
174,"Round #0"
175,"Round #2"
176,"Round #4"
177,"Spotter #20/0"
178,"Spotter #3"
179,"Tight Spot Detailer #5/0"
180,"Tight Spot Detailer #0"
181,"8B"
182,"7B"
183,"6B"
184,"5B"
185,"4B"
186,"3B"
187,"2B"
188,"B"
189,"F"
190,"HB"
191,"H "
192,"2H"
193,"3H"
194,"4H"
195,"5H"
196,"6H"
197,"1 oz"
198,"32 oz"
199,"Large"
200,"X-Large"
201,"1.75 lb"
202,"8 lb"
203,"225 ml / 7.6 oz"
204,"200 ml / 6.75 oz"
205,"3.5"" x 5.5"""
206,"5.5"" x 8.5"""
207,"Diamond Mesh-Aluminum 1/4"" Pattern"
208,"Gallery Mesh-Aluminum 1/2"" Pattern"
209,"Impression Mesh-Copper 1/8"" Pattern"
210,"Sparkle Mesh-Aluminum 1/8"" Pattern"
211,"Studio Mesh-Aluminum 3/8"" Pattern"
212,"Designer Mesh-Brass-18 Mesh-20"" x 5'"
213,"Diamond Mesh-Aluminum 1/4""-20"" x 10'"
214,"Gallery Mesh-Aluminum 1/2""-20"" x 10'"
215,"Impression Mesh-Copper 1/8""-20"" x 5'"
216,"Sparkle Mesh-Aluminum 1/8""-20"" x 10'"
217,"Aluminum-.005 Foil"
218,"Brass-.002 Foil"
219,"Brass-.005 Foil"
220,"Copper-.003 Foil"
221,"Copper-.005 Foil"
222,"Stainless Steel-.002 Foil"
223,"#6 Angle Bright"
224,"#12 Angle Bright"
225,"#3 Fan"
226,"#8 Fan"
227,"#2 Flat"
228,"#4 Flat"
229,"#6 Flat"
230,"#8 Flat"
231,"#10 Flat"
232,"#12 Flat"
233,"#16 Flat"
234,"#20 Flat"
235,"#6 Fan"
236,"#3 Round"
237,"#2/0 Round"
238,"1/4"" Angle Shader"
239,"1/2"" Angle Shader"
240,"3/4"" Angle Wash"
241,"1 1/2"" Flat Wash"
242,"#10/0 Liner"
243,"#1 Liner"
244,"#2 Liner"
245,"3/4"" Oval Wash"
246,"1"" Stroke"
247,"1"" Wash"
248,"#1 Angle Shader"
249,"#4 Bright Shader "
250,"#4 Fan"
251,"#6 Flat Shader"
252,"#4 Liner"
253,"#10 Angle Bright"
254,"#2 Fan"
255,"8"" x 10"" (pack of 5)"
256,"11"" x 14"" (pack of 5)"
257,"12"" x 12"" (pack of 5)"
258,"18"" x 24"" (pack of 5)"
259,"24"" x 24"" (pack of 5)"
260,"50 ml"
261,"59 ml / 2 oz"
262,"13 Pieces"
263,"19 Pieces"
264,"400ml / 12 oz"
265,"30 ml / 1 oz"
266,"22 ml / .74 oz"
267,"118 ml / 4 oz"
268,"8 ml / .27 oz"
269,"#3 Bright"
270,"#5 Bright"
271,"#7 Bright"
272,"#3 Flat"
273,"#5 Flat"
274,"#7 Flat"
275,"#1 Flat"
276,"#3 Round"
277,"#5 Round"
278,"#7 Round"
279,"#3 Filbert"
280,"#5 Filbert"
281,"#7 Filbert"
282,"4 pack"
283,"5 pack"
284,"#00 Round"
285,"#28 Bright"
286,"#14 Flat"
287,"#000 Round"
288,"#1 Fan"
289,"3 pack"
290,"50 mm / 2"
291,"#9 Round"
292,"#0000 Round"
293,"#0 Rigger"
294,"#1 Rigger"
295,"#2 Rigger"
296,"#3 Rigger"
297,"25 mm Filbert"
298,"19 mm Filbert"
299,"13 mm Filbert"
300,"10 mm Filbert"
301,"6 mm Filbert"
302,"3 mm Filbert"
303,"13 mm Angled"
304,"10 mm Angled"
305,"6 mm Angled"
306,"3 mm Angled"
307,"4"" x 4"""
308,"4"" x 6"""
309,"5"" x 5"""
310,"5"" x 7"""
311,"6"" x 6"""
312,"10"" x 10"""
313,"18"" x 18"""
314,"8"" x 8"""
315,"39"" x 39"""
316,"71"" x 6 yds"
317,"11"" x 14"" (3 pack)"
318,"12"" x 16"" (3 pack)"
319,"16"" x 20"" (3 pack)"
320,"18"" x 24"" (3 pack)"
321,"3"" x 5"""
322,"20"" x 24"""
323,"12"" x 10"" (3 pack)"
324,"10 Pieces"
325,"5 Pieces"
326,"27 Pieces"
327,"72 Pieces"
328,"45 Pieces"
329,"50 Pieces"
330,"0.05 Nib"
331,"0.1 Nib"
332,"0.3 Nib"
333,"0.5 Nib"
334,"0.8 Nib"
335,"1.0 Nib"
336,"3 Pieces"
337,"7"" x 10"""
338,"10"" x 14"""
339,"56 x 76 cm"
340,"8.5"" x 11"""
341,"250 ml / 8.5 oz"
342,"500 ml / 16.9 oz"
343,"250 ml / 8.4 oz"
344,"125 ml / 4.2 oz"
345,"450 ml / 15.2 oz"
346,"237 ml / 8 oz"
347,"473 ml / 16 oz"
348,"946 ml / 32 oz"
349,"1.89 L / .5 Gallon"
350,"3.78 L / 1 Gallon"
351,"5 L / 169 oz"
352,"10 L / 338 oz"
353,"474 ml / 16 oz"
354,"6 Pieces"
